ID,thnk is senior,note
549,y,Attended 2014-05 mbr mtg
596,y,Attended 2014-05 mbr mtg
624,y,Attended 2014-05 mbr mtg
626,y,Attended 2014-05 mbr mtg
1552,y,Attended 2014-05 mbr mtg
1971,y,Attended 2014-05 mbr mtg
654,y,Attended 2014-05 mbr mtg
380,y,Attended 2014-05 mbr mtg
2281,y,Attended 2014-05 mbr mtg
2745,y,Attended 2014-05 mbr mtg
449,y,Attended 2014-05 mbr mtg
919,y,Attended 2014-05 mbr mtg
975,y,Attended 2014-05 mbr mtg
1350,y,Attended 2014-05 mbr mtg
1072,y,Attended 2014-05 mbr mtg
1075,y,Attended 2014-05 mbr mtg
2746,y,Attended 2014-05 mbr mtg
870,y,Thought of them during 2014-05 phonebank prep
881,y,Thought of them during 2014-05 phonebank prep
340,y,Thought of them during 2014-05 phonebank prep
1667,y,Thought of them during 2014-05 phonebank prep
1668,y,Thought of them during 2014-05 phonebank prep
1669,y,Thought of them during 2014-05 phonebank prep
689,y,Thought of them during 2014-05 phonebank prep
1161,y,Thought of them during 2014-05 phonebank prep
721,y,Thought of them during 2014-05 phonebank prep
2262,y,Thought of them during 2014-05 phonebank prep
1676,y,Thought of them during 2014-05 phonebank prep
449,y,Thought of them during 2014-05 phonebank prep
774,y,Thought of them during 2014-05 phonebank prep
796,y,Thought of them during 2014-05 phonebank prep
797,y,Thought of them during 2014-05 phonebank prep
2600,y,Thought of them during 2014-05 phonebank prep
1671,y,Thought of them during 2014-05 phonebank prep
1072,y,Thought of them during 2014-05 phonebank prep
1297,y,Thought of them during 2014-05 phonebank prep
982,y,Thought of them during 2014-05 phonebank prep
247,y,Thought of them during 2014-05 phonebank prep
1001,y,Thought of them during 2014-05 phonebank prep
146,y,Thought of them during 2014-05 phonebank prep
914,y,Thought of them during 2014-05 phonebank prep
216,y,Thought of them during 2014-05 phonebank prep
1029,y,Thought of them during 2014-05 phonebank prep
652,y,Thought of them during 2014-05 phonebank prep
2587,y,Thought of them during 2014-05 phonebank prep
2674,m,Thought of them during 2014-05 phonebank prep
2664,m,Thought of them during 2014-05 phonebank prep
2662,m,Thought of them during 2014-05 phonebank prep
2313,m,Thought of them during 2014-05 phonebank prep
2651,m,Thought of them during 2014-05 phonebank prep
255,m,Thought of them during 2014-05 phonebank prep
2673,m,Thought of them during 2014-05 phonebank prep
256,m,Thought of them during 2014-05 phonebank prep
2155,m,Thought of them during 2014-05 phonebank prep
2669,m,Thought of them during 2014-05 phonebank prep
2672,m,Thought of them during 2014-05 phonebank prep
2665,m,Thought of them during 2014-05 phonebank prep
2663,m,Thought of them during 2014-05 phonebank prep
1008,m,Thought of them during 2014-05 phonebank prep
2650,m,Thought of them during 2014-05 phonebank prep
2675,m,Thought of them during 2014-05 phonebank prep
2660,m,Thought of them during 2014-05 phonebank prep
2661,m,Thought of them during 2014-05 phonebank prep
2671,m,Thought of them during 2014-05 phonebank prep
2667,m,Thought of them during 2014-05 phonebank prep
2659,m,Thought of them during 2014-05 phonebank prep
391,m,Thought of them during 2014-05 phonebank prep
393,m,Thought of them during 2014-05 phonebank prep
2657,m,Thought of them during 2014-05 phonebank prep
2666,m,Thought of them during 2014-05 phonebank prep
381,m,Thought of them during 2014-05 phonebank prep
2658,m,Thought of them during 2014-05 phonebank prep
2670,m,Thought of them during 2014-05 phonebank prep
2676,m,Thought of them during 2014-05 phonebank prep
260,m,Thought of them during 2014-05 phonebank prep
214,m,Thought of them during 2014-05 phonebank prep
2653,m,Thought of them during 2014-05 phonebank prep
2545,m,Thought of them during 2014-05 phonebank prep
2546,m,Thought of them during 2014-05 phonebank prep
2547,m,Thought of them during 2014-05 phonebank prep
