Internal Contact ID,Notes/to-do,Event ID,status,role
235,,17,2,1
549,,17,2,1
565,,17,2,1
569,,17,2,1
578,,17,2,1
596,,17,2,1
624,,17,2,1
626,,17,2,1
1552,,17,2,1
1515,,17,2,1
1971,,17,2,1
654,late,17,2,1
380,,17,2,1
686,,17,2,1
359,,17,2,1
696,,17,2,1
2281,,17,2,1
428,,17,2,1
725,,17,2,1
449,,17,2,1
796,late,17,2,1
2690,,17,2,1
800,,17,2,1
849,changed name,17,2,1
207,"dog, left after 1 min",17,2,1
890,,17,2,1
919,,17,2,1
542,"took lots of food for him and wife, and gave $5",17,2,1
929,,17,2,2
185,,17,2,1
975,,17,2,1
1350,,17,2,1
1009,,17,2,1
1052,,17,2,1
1072,,17,2,1
1075,,17,2,1
1441,,17,2,1
1635,,17,2,4
1516,,17,2,1
1596,"late, add phone",17,2,1
3,,17,2,4
4,,17,2,4
188,add address,17,2,1
1551,dog,17,2,1
2067,,17,2,4
1,,17,2,5
2274,,17,2,4
2743,,17,2,1
2285,,17,2,1
2745,,17,2,1
2742,,17,2,4
2741,,17,2,1
2740,,17,2,1
2748,,17,2,1
2749,,17,2,1
2744,,17,2,1
2750,,17,2,1
76,,17,2,1
603,BK client note,17,2,1
