ID,MbrMtg-2012-02-15,MbrMtg-2012-04-25,Goodforpotluck,MbrMtg-2011-04-27,voted 2010,Gala-2009,Gala-2010
31,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
55,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
61,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
72,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
83,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
95,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
121,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
123,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
130,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
138,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
140,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
142,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
158,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
163,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
176,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
181,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
193,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
199,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
200,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
226,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
228,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
230,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
238,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
243,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
258,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
273,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
284,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
298,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
299,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
303,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
305,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
308,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
320,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
325,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
331,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
333,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
352,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
355,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
393,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
424,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
445,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
447,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
450,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
454,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
455,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
532,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE
543,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
545,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
547,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
551,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
561,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
562,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
565,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
568,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
569,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
573,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
583,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
592,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
596,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
609,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
610,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
614,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
619,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
620,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
623,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
624,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
626,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
628,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
639,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
645,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
649,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
659,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
660,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
664,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
666,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
675,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
677,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
679,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
681,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
682,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
686,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
691,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
700,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
701,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
703,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
711,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
713,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
717,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
722,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
725,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
727,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
731,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
735,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
737,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
741,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
757,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
760,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
761,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
763,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
765,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
779,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
782,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
785,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
789,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
790,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
793,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
800,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
801,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
811,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
817,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
818,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
821,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
823,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
833,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
838,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
840,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
848,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
851,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
860,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
861,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
864,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
872,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
881,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
884,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
895,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
904,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
905,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
909,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
910,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
920,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
922,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
935,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
936,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
944,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
954,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
966,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
981,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
982,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
983,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
995,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
997,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
998,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
1010,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
1012,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
1015,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
1021,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
1025,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
1027,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
1032,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
1035,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
1036,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
1044,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE
1045,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
1048,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
1052,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
1054,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
1056,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
1062,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
1064,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
1067,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
1068,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
1080,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
1115,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
1155,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
1200,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
1348,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
1389,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
1398,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1409,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
1428,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
1431,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
1438,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
1483,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
1509,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1510,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
1511,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1512,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1513,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1550,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
