ID,Timestamp,Contact Method(s),Type progress note here:,Staff Person(s),Primary Issue Area,What organization are you referring this client to?,Ref person,Date of Interaction (mm/dd/yy),Any of the below outcomes achieved?,Date of Outcome (mm/dd/yy),"Based on client's Contact Info and Method, Issue Area, and Staff",Was this client referred to us FROM somewhere else?,IA: Reason for Coming to CSC,IA: Background Information,IA: Strengths,IA: Needs,Short Term Goals,Short Term Goal Timeline,Long Term Goals,Long Term Goal Timeline,ISP: What will you do?,ISP: What will the client do?,Internal Notes,CAPnote,CAPatt,Gross Income,Legal Rent,Type of Subsidy,Effective Rent,Income Period,Internal Notes (previous) + Contracts,cm-actID,dummy1,dummy2,dummy3,dummy4
1,12/2/2010 0:00,,(ATT),Christian,C,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,,,,,,
2,9/29/2008 0:00,,"bedbugs, MeetTheNeighbors.org",Daniel,TA,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,,,,,,
2,2/14/2013 0:00,"Phone, Email","Some neighbors having renewal denied. I emailed details on getting RH and form TA. Neighbor's lease not being renewed, exp 4/30/2013?",Daniel,"EP, TA",,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,,2,,,,
3,10/1/2008 0:00,,,"Brandon, Daniel","TA, HS",,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,,,,,,
4,10/1/2008 0:00,,,"Brandon, Daniel","TA, HS",,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,,,,,,
5,10/1/2008 0:00,,,"Brandon, Daniel","TA, HS",,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,,,,,,
5,9/29/2011 0:00,Person,An appointment was made to look over a letter I drafted.  We will help the client get an attorney if need be.  They seem to have a strong case.,Brandon,EP,,,10/3/2011 18:35,,,NEW,,"(DW) Client lives in a building that has been organized over the last few years to combat the LL's neglecting to provide cooking gas for 9 months. They won rent abatements in court, yet still have problems with their own individual lease. Like many of the other Chinese tenants in the building, there has been transition between relatives/friends and others, and client needs lease transferred into his name to formalize the tenancy. Client does not speak English well, and needs help communicating to the landlord.",,,,(DW) Get a letter to the landlord requesting a lease.,,(DW) Maintain a legal hassle-free tenancy.,,Write a letter to the new property management company explaining the case of Ming's lease.  He hope to preemptively address that matter and have the LL provide him the lease that he is entitled to.,,,TRUE,TRUE,,,,,,,1,,,,
5,10/26/2011 17:22,,Client stopped in with a (10) Day Notice from his LL.  We had a discussion about the possibility of his case going to housing court.,,EP,,,,,,CONT,,,,,,,,,,,,,TRUE,TRUE,,,,,,,,,,,
6,10/1/2008 0:00,,,"Brandon, Daniel","TA, HS",,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,,,,,,
6,3/26/2012 16:39,Person,N/A,Brandon,HC,,,,,,NEW,,"Client is a long, long term tenant of the LES.  She has a hoarding problem and is also involved in the organizing of her building's TA.  We have worked with her before regarding her clutter.",,,,Prevent eviction.,,Prevent eviction and help client connect to mental health she needs to manage her hoarding problem.,,Work with the client help her understand what she needs to do to get through her housing court case... also get her connected to support through University Settlement and other potential mental heath profs.,,,TRUE,TRUE,,,,,,,1,,,,
7,10/1/2008 0:00,,,"Brandon, Daniel","TA, HS",,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,,,,,,
8,10/1/2008 0:00,,,"Brandon, Daniel","TA, HS",,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,,,,,,
9,10/1/2008 0:00,,,"Brandon, Daniel","TA, HS",,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,,,,,,
10,10/9/2008 0:00,,,Daniel,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,,,,,,
11,10/20/2008 0:00,,,"Brandon, Daniel","TA, HS",,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,,,,,,
11,10/3/2011 0:00,Person,An appointment was made to look over a letter I drafted.  We will help the client get an attorney if need be.  They seem to have a strong case.,Brandon,EP,,,9/29/2011 0:00,,,NEW,,"(DW) Client lives in a building that has been organized over the last few years to combat the LL's neglecting to provide cooking gas for 9 months. They won rent abatements in court, yet still have problems with their own individual lease. Like many of the other Chinese tenants in the building, there has been transition between relatives/friends and others, and client needs lease transferred into his name to formalize the tenancy. Client does not speak English well, and needs help communicating to the landlord.",,,,(DW) Get a letter to the landlord requesting a lease.,,(DW) Maintain a legal hassle-free tenancy.,,Write a letter to the new property management company explaining the case of Ming's lease.  He hope to preemptively address that matter and have the LL provide him the lease that he is entitled to.,,,TRUE,TRUE,,,,,,,1,,,,
11,10/18/2011 16:08,,Had consultation with client regarding a letter we are sending his LL on his behalf.  Letter was looked over and approved.  We are now sending it to the Prop Man for his building.,,EP,,,,,,CONT,,,,,,,,,,,,,TRUE,TRUE,,,,,,,,,,,
12,10/20/2008 0:00,,,"Brandon, Daniel","TA, HS",,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,,,,,,
13,10/20/2008 0:00,,,"Brandon, Daniel","TA, HS",,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,,,,,,
14,10/29/2008 0:00,,,"Brandon, Daniel","TA, HS",,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,,,,,,
15,10/29/2008 0:00,,,"Brandon, Daniel","TA, HS",,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,,,,,,
16,11/13/2008 0:00,,,"Brandon, Daniel","TA, HS",,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,,,,,,
