Internal Contact ID,Invoice number,Total amount,Total non-deductible (auto is 0),Payment Method ID,Check Number,Financial Type Label,Financial Type ID,Contribution Date,Description,Source
816,,25,,4,336,Donation,1,2014-12-03,"Year-end donation, card included",Year-end donor letter
329,,25,,3,,Donation,1,2014-12-04,"Year-end donation, card included",Year-end donor letter
2865,,10,,4,4843,Donation,1,2014-12-08,"Year-end donation, card included",Year-end donor letter
1400,,25,,4,1566,Donation,1,2014-12-02,"Year-end donation, card included",Year-end donor letter
596,,10,,4,446,Donation,1,2014-12-03,"Year-end donation, card included",Year-end donor letter
2815,,25,,4,585,Donation,1,2014-12-03,"Year-end donation, card included; payment made by Shun Yee Chan",Year-end donor letter
2942,,50,,4,963,Donation,1,2015-01-04,"Year-end donation, card not included",Year-end donor letter
140,,10,,3,,Donation,1,2014-12-02,"Year-end donation, card included",Year-end donor letter
699,,15,,4,491,Donation,1,2014-12-18,"Year-end donation, card included",Year-end donor letter
707,,50,,4,2378,Donation,1,2014-12-03,"Year-end donation, card included",Year-end donor letter
727,,25,,4,1408,Donation,1,2014-12-12,"Year-end donation, card included",Year-end donor letter
730,,25,,4,1758,Donation,1,2014-12-08,"Year-end donation, card included",Year-end donor letter
768,,100,,4,6066,Donation,1,2014-12-03,"Year-end donation, card not included",Year-end donor letter
1384,,35,,1,,Donation,1,2014-12-22,"Year-end donation, card included",Year-end donor letter
796,,10,,4,1804,Donation,1,2014-12-11,"Year-end donation, card included",Year-end donor letter
161,,20,,4,219,Donation,1,2014-12-20,"Year-end donation, card included",Year-end donor letter
1603,,100,,4,451,Donation,1,2014-12-21,"Year-end donation, card not included",Year-end donor letter
459,,10,,4,1222,Donation,1,2014-12-05,"Year-end donation, card included",Year-end donor letter
731,,50,,4,2640,Donation,1,2014-12-14,"Year-end donation, card included",Year-end donor letter
232,,25,,4,248,Donation,1,2015-01-07,"Year-end donation, card included",Year-end donor letter
1289,,100,,4,2758,Donation,1,2014-12-08,"Year-end donation, card included",Year-end donor letter
985,,100,,4,2258,Donation,1,2014-12-03,"Year-end donation, card included",Year-end donor letter
1001,,25,,4,414,Donation,1,2014-12-31,"Year-end donation, card included",Year-end donor letter
1543,,10,,4,257,Donation,1,2014-12-02,"Year-end donation, card included",Year-end donor letter
417,,20,,3,,Donation,1,2014-12-09,"Year-end donation, card included",Year-end donor letter
1062,,25,,4,1751,Donation,1,2014-12-01,"Year-end donation, card included",Year-end donor letter
1072,,25,,4,1817,Donation,1,2014-12-31,"Year-end donation, card included",Year-end donor letter
