P Role ID,Participant ID,Event ID
"1,6",624,11
"1,4",707,11
6,671,11
6,675,11
6,680,11
6,682,11
6,749,11
6,661,11
6,646,11
8,745,11
8,710,11
8,711,11
8,750,11
8,692,11
8,713,11
8,742,11
8,724,11
8,720,11
8,714,11
8,673,11
8,715,11
8,674,11
8,721,11
8,716,11
8,679,11
8,719,11
8,722,11
8,739,11
8,723,11
8,717,11
8,718,11
8,655,11
8,656,11
8,725,11
8,686,11
8,658,11
5,670,11
5,676,11
5,650,11
5,657,11
5,659,11
5,662,11
2,636,11
2,694,11
2,688,11
2,740,11
2,666,11
"2,8",639,11
