P Role ID,P Status after event,Participant ID,Event ID
"1,6",2,624,11
"1,4",2,707,11
6,2,671,11
6,2,675,11
6,2,680,11
6,2,682,11
6,2,749,11
6,2,661,11
8,2,745,11
8,2,710,11
8,2,711,11
8,2,750,11
8,2,692,11
8,2,713,11
8,2,742,11
8,2,724,11
8,2,720,11
8,2,714,11
8,2,673,11
8,2,715,11
8,2,674,11
8,2,721,11
8,2,716,11
8,2,679,11
8,2,719,11
8,2,722,11
8,2,739,11
8,2,723,11
8,2,717,11
8,2,718,11
8,2,655,11
8,2,656,11
8,2,725,11
8,2,686,11
8,2,658,11
5,2,670,11
5,2,676,11
5,2,650,11
5,2,657,11
5,2,659,11
5,2,662,11
2,2,636,11
2,2,694,11
2,2,688,11
2,2,740,11
2,2,666,11
"2,8",2,639,11
