Event ID,P Role ID,P Status after event,Participant ID,conc note for import,Imported?
11,6,3,732,#  # ,imported 2x
11,6,3,733,# CEC gets 4 ppl # ,imported 2x
11,6,3,731,"# 616 E 9th Street, #5W # ",imported 2x
11,6,3,677,"# White Roof Project, Honoree - Comp # ",imported 2x
11,6,3,678,"# White Roof Project, Exec. Dir., Honoree - Comp # ",imported 2x
11,6,3,681,"# White Roof Project, Honoree - Comp # ",imported 2x
11,8,3,709,"# Maria called, wanted discount # ",imported 2x
11,8,3,640,"# , 10 Stanton Guest - Comp # ",imported 2x
11,8,3,727,# 10 Stanton guest # ,imported 2x
11,8,3,728,# Put ad in. David Kruger of his office called to say he'd stop in # ,imported 2x
11,8,3,341,# With Galo's sponsored ticket # ,imported 2x
11,8,3,687,"# First Presbyterian Church, Sponsor - Comp # ",imported 2x
11,8,3,744,# Cube Bldg sponsoree- 2 tix # ,imported 2x
11,5,3,660,"# CSC Staff, Staff - Comp # ",imported 2x
