ID,lang_import,phbk note
530,es_PR,Lucille left msg in 5-2014
170,es_PR,Lucille left msg in 5-2014
2390,zh_CN,Coco left msg in 5-2014
2471,zh_CN,Coco left msg in 5-2014
2374,zh_CN,Coco left msg in 5-2014
2449,zh_CN,Coco left msg in 5-2014
2451,zh_CN,Coco left msg in 5-2014
2456,,Maria left msg in 5-2014
2413,,Maria left msg in 5-2014
1383,,Maria left msg in 5-2014
563,,Maria left msg in 5-2014
800,,Coco left msg in 5-2014
849,,Gloria left msg in 5-2014
2322,,Gloria left msg in 5-2014
2512,,Gloria left msg in 5-2014
2416,,Gloria left msg in 5-2014
870,,Gloria left msg in 5-2014
2511,,Gloria left msg in 5-2014
881,,Gloria left msg in 5-2014
1385,,Gloria left msg in 5-2014
34,,Gloria left msg in 5-2014
2534,,Gloria left msg in 5-2014
931,,Gloria left msg in 5-2014
935,,Gloria left msg in 5-2014
942,,Gloria left msg in 5-2014
956,,Gloria left msg in 5-2014
2439,,Gloria left msg in 5-2014
2320,,Lucille left msg in 5-2014
1026,,Lucille left msg in 5-2014
1044,,Lucille left msg in 5-2014
2484,,Lucille left msg in 5-2014
2404,,Lucille left msg in 5-2014
126,,Lucille left msg in 5-2014
2600,es_PR,Lucille left msg in 5-2014
329,es_PR,Lucille left msg in 5-2014
1519,es_PR,Lucille left msg in 5-2014
180,es_PR,Lucille left msg in 5-2014
269,es_PR,Lucille left msg in 5-2014
607,es_PR,Lucille left msg in 5-2014
2346,es_PR,Lucille left msg in 5-2014
2338,es_PR,Lucille left msg in 5-2014
2496,es_PR,Lucille left msg in 5-2014
2469,es_PR,Lucille left msg in 5-2014
2453,es_PR,Lucille left msg in 5-2014
82,es_PR,Lucille left msg in 5-2014
632,es_PR,Lucille left msg in 5-2014
390,es_PR,Lucille left msg in 5-2014
2486,es_PR,Lucille left msg in 5-2014
397,es_PR,Lucille left msg in 5-2014
2578,es_PR,Lucille left msg in 5-2014
2419,,Lucille left msg in 5-2014
2501,zh_CN,Coco spoke with in 5-2014
686,zh_CN,Coco spoke with in 5-2014
2362,zh_CN,Coco spoke with in 5-2014
2526,,Lucille spoke with in 5-2014
2372,,Gloria spoke with in 5-2014
44,,Gloria spoke with in 5-2014
2417,,Lucille spoke with in 5-2014
2412,,Lucille spoke with in 5-2014
416,es_PR,Lucille spoke with in 5-2014
387,es_PR,Lucille spoke with in 5-2014
403,zh_CN,Coco spoke with in 5-2014
2314,zh_CN,Daniel guessed language in 5-2014; no answer when Coco called
2422,zh_CN,Daniel guessed language in 5-2014; no answer when Coco called
2382,zh_CN,Coco spoke with in 5-2014
2492,zh_CN,Coco spoke with in 5-2014
821,,Gloria spoke with in 5-2014
1072,,Lucille spoke with in 5-2014
1345,,Lucille spoke with in 5-2014
669,es_PR,Lucille spoke with in 5-2014
2345,zh_CN,Daniel guessed language in 5-2014; no answer when Coco called
2340,zh_CN,Daniel guessed language in 5-2014; no answer when Coco called
2478,zh_CN,Daniel guessed language in 5-2014; no answer when Coco called
2384,zh_CN,Daniel guessed language in 5-2014; no answer when Coco called
2480,zh_CN,Daniel guessed language in 5-2014; no answer when Coco called
2315,zh_CN,Daniel guessed language in 5-2014; no answer when Coco called
2474,zh_CN,Daniel guessed language in 5-2014; no answer when Coco called
2662,zh_CN,Daniel guessed language in 5-2014; no answer when Coco called
2392,,Daniel guessed language in 5-2014; no answer when Maria called
564,,Daniel guessed language in 5-2014; no answer when Maria called
565,,Daniel guessed language in 5-2014; no answer when Maria called
2447,,Daniel guessed language in 5-2014; no answer when Maria called
832,,Daniel guessed language in 5-2014; no answer when Gloria called
883,,Daniel guessed language in 5-2014; no answer when Gloria called
2537,,Daniel guessed language in 5-2014; no answer when Gloria called
115,es_PR,Daniel guessed language in 5-2014; no answer when Lucille called
2421,,Lucille spoke with in 5-2014
2500,zh_CN,Daniel guessed language in 5-2014; wrong number when Coco called
2661,,Daniel guessed language in 5-2014; wrong number when Lucille called
2671,,Daniel guessed language in 5-2014; wrong number when Lucille called
146,,Daniel guessed language in 5-2014; wrong number when Gloria called
458,,Daniel guessed language in 5-2014; wrong number when Gloria called
914,,Daniel guessed language in 5-2014; wrong number when Gloria called
216,,Daniel guessed language in 5-2014; wrong number when Gloria called
2535,,Daniel guessed language in 5-2014; wrong number when Gloria called
127,,Daniel guessed language in 5-2014; wrong number when Lucille called
1066,,Daniel guessed language in 5-2014; wrong number when Lucille called
2489,,Daniel guessed language in 5-2014; wrong number when Lucille called
554,es_PR,Daniel guessed language in 5-2014; wrong number when Lucille called
291,es_PR,Daniel guessed language in 5-2014; wrong number when Lucille called
2516,es_PR,Daniel guessed language in 5-2014; wrong number when Lucille called
1488,es_PR,Daniel guessed language in 5-2014; wrong number when Lucille called
461,es_PR,Daniel guessed language in 5-2014; wrong number when Lucille called
2533,es_PR,Daniel guessed language in 5-2014; wrong number when Lucille called
2538,es_PR,Daniel guessed language in 5-2014; wrong number when Lucille called
569,,Maria spoke with in 5-2014
784,,Coco spoke with in 5-2014
2577,,Gloria spoke with in 5-2014
1029,,Lucille spoke with in 5-2014
167,es_PR,Lucille spoke with in 5-2014
636,es_PR,Lucille spoke with in 5-2014
2499,es_PR,Lucille spoke with in 5-2014
652,es_PR,Lucille spoke with in 5-2014
386,es_PR,Lucille spoke with in 5-2014
2344,es_PR,Lucille spoke with in 5-2014
99,es_PR,Lucille spoke with in 5-2014
712,es_PR,Lucille spoke with in 5-2014
2674,zh_CN,Daniel guessed language in 5-2014; Coco may have called
