Contact ID,Phonebank activity type ID,ACtivity Date,Phonebank activity subject,Phonebank activity details,DNI - staff ID,DNI
1460,2,2015-06-01,Phonebanking for 6/9/15 Albany trip: ? called,not_this_person,1635,ACTIVITY IMPORT
968,2,2015-06-01,Phonebanking for 6/9/15 Albany trip: ? called,,1635,ACTIVITY IMPORT
311,2,2015-06-01,Phonebanking for 6/9/15 Albany trip: AC ?,sick,1635,ACTIVITY IMPORT
969,2,2015-06-01,Phonebanking for 6/9/15 Albany trip: AC called,VM not working,1635,ACTIVITY IMPORT
1594,2,2015-06-01,Phonebanking for 6/9/15 Albany trip: AC Called,VM not working,1635,ACTIVITY IMPORT
424,2,2015-06-01,Phonebanking for 6/9/15 Albany trip: AC Called,VM not working,1635,ACTIVITY IMPORT
6,2,2015-06-01,Phonebanking for 6/9/15 Albany trip: AC called,nis,1635,ACTIVITY IMPORT
140,2,2015-06-01,Phonebanking for 6/9/15 Albany trip: AC Called,GOLES_called_her_she_will_let_us_know,1635,ACTIVITY IMPORT
1361,2,2015-06-01,Phonebanking for 6/9/15 Albany trip: AC Called,cant_come,1635,ACTIVITY IMPORT
1544,2,2015-06-01,Phonebanking for 6/9/15 Albany trip: AC Called,called 2x,1635,ACTIVITY IMPORT
1001,2,2015-06-01,Phonebanking for 6/9/15 Albany trip: AC Called,call_again,1635,ACTIVITY IMPORT
1525,2,2015-06-01,Phonebanking for 6/9/15 Albany trip: AC Called,,1635,ACTIVITY IMPORT
491,2,2015-06-01,Phonebanking for 6/9/15 Albany trip: AC Called Left msg,line_busy_3x,1635,ACTIVITY IMPORT
1604,2,2015-06-01,Phonebanking for 6/9/15 Albany trip: AC Called Left msg,,1635,ACTIVITY IMPORT
523,2,2015-06-01,Phonebanking for 6/9/15 Albany trip: AC Called Left msg,,1635,ACTIVITY IMPORT
1604,2,2015-06-01,Phonebanking for 6/9/15 Albany trip: AC Called Left msg,,1635,ACTIVITY IMPORT
2093,2,2015-06-01,Phonebanking for 6/9/15 Albany trip: AC Called Left msg,,1635,ACTIVITY IMPORT
2758,2,2015-06-01,"Phonebanking for 6/9/15 Albany trip: AC called, said no",sick,1635,ACTIVITY IMPORT
1467,2,2015-06-01,"Phonebanking for 6/9/15 Albany trip: AC called, said no",leg_in_cast,1635,ACTIVITY IMPORT
1465,2,2015-06-01,"Phonebanking for 6/9/15 Albany trip: AC called, said no",,1635,ACTIVITY IMPORT
1636,2,2015-06-01,"Phonebanking for 6/9/15 Albany trip: AC called, said no",,1635,ACTIVITY IMPORT
2684,2,2015-06-01,"Phonebanking for 6/9/15 Albany trip: AC called, said no",,1635,ACTIVITY IMPORT
2715,2,2015-06-01,"Phonebanking for 6/9/15 Albany trip: AC called, said yes",,1635,ACTIVITY IMPORT
278,2,2015-06-01,"Phonebanking for 6/9/15 Albany trip: AC called, say yes",,1635,ACTIVITY IMPORT
510,2,2015-06-01,Phonebanking for 6/9/15 Albany trip: AC Left msg,,1635,ACTIVITY IMPORT
