Activity ID,Outcome Classification
4202,AH
4207,AH
4402,AH
4513,AH
4515,AH
4519,AH
4520,AH
4527,AH
4533,AH
4832,AH
4834,AH
4984,AH
5095,AH
5097,AH
5101,AH
5102,AH
5109,AH
5115,AH
3375,RC
3657,RC
3674,RC
3717,RC
3718,RC
3791,RC
3839,RC
3840,RC
3864,RC
3871,RC
3924,RC
3949,RC
4028,RC
4163,RC
4308,RC
4349,RC
4357,RC
4385,RC
4388,RC
4407,RC
4425,RC
4609,RC
4610,RC
4695,RC
4892,RC
4931,RC
4939,RC
4967,RC
4970,RC
4989,RC
5007,RC
3794,RC
3115,E1
3148,E1
3153,E1
3229,E1
3230,E1
3287,E1
3288,E1
3289,E1
3354,E1
3371,E1
3379,E1
3382,E1
3423,E1
3425,E1
3454,E1
3499,E1
3500,E1
3501,E1
3521,E1
3523,E1
3552,E1
3648,E1
3947,E1
4016,E1
4046,E1
4074,E1
4152,E1
4162,E1
4220,E1
4222,E1
4228,E1
4246,E1
4276,E1
4295,E1
4315,E1
4377,E1
4399,E1
4409,E1
4456,E1
4570,E1
4590,E1
4593,E1
4627,E1
4671,E1
4706,E1
4709,E1
4724,E1
4744,E1
4774,E1
4779,E1
4782,E1
4810,E1
4841,E1
4959,E1
4981,E1
4991,E1
5038,E1
5186,E1
5207,E1
5218,E1
5226,E1
5246,E1
5250,E1
7753,E1
7758,E1
7760,E1
7835,E1
7838,E1
7847,E1
7852,E1
7853,E1
7859,E1
7861,E1
7885,E1
3228,E2
3381,E2
3426,E2
3493,E2
3564,E2
3567,E2
3626,E2
4181,E2
4229,E2
4569,E2
4640,E2
4643,E2
4743,E2
4798,E2
3061,E3
3062,E3
3118,E3
3149,E3
3152,E3
3427,E3
3495,E3
3497,E3
3565,E3
3624,E3
3627,E3
3914,E3
3950,E3
3963,E3
4183,E3
4316,E3
4363,E3
4745,E3
4776,E3
4811,E3
4945,E3
5174,E3
5176,E3
5182,E3
5195,E3
5199,E3
5200,E3
7848,E3
3090,E4
3373,E4
3429,E4
3432,E4
3632,E4
3633,E4
4047,E4
4233,E4
4247,E4
4711,E4
4726,E4
4747,E4
4748,E4
5177,E4
5178,E4
5179,E4
5181,E4
5190,E4
5191,E4
5203,E4
5205,E4
5227,E4
5228,E4
7824,E4
7834,E4
7839,E4
7846,E4
7849,E4
7851,E4
7886,E4
7887,E4
3212,RE
3842,RE
3848,RE
4332,RE
4829,RE
4913,RE
4914,RE
3599,AH
3853,RL
3855,RL
3055,RL
3357,RL
3359,RL
3455,RL
3469,RL
3546,RL
3548,RL
3550,RL
3651,RL
3652,RL
3653,RL
3654,RL
3704,RL
3752,RL
3773,RL
3775,RL
3776,RL
3782,RL
3785,RL
3788,RL
3807,RL
3816,RL
3817,RL
3825,RL
3835,RL
3873,RL
3905,RL
3964,RL
4339,RL
4366,RL
4397,RL
4432,RL
4439,RL
4448,RL
4457,RL
4486,RL
4525,RL
4532,RL
4633,RL
4646,RL
4686,RL
4687,RL
4689,RL
4690,RL
4696,RL
4697,RL
4754,RL
4800,RL
4840,RL
4854,RL
4866,RL
4893,RL
4902,RL
4921,RL
4948,RL
4979,RL
5014,RL
5021,RL
5030,RL
5039,RL
5068,RL
5107,RL
5114,RL
4362,E3
4944,E3
4248,E4
3431,OP
3526,OP
4804,OP
7755,OP
3714,RL
4672,RR
4081,WA
3870,WA
4082,WA
4501,WA
4909,WA
5083,WA
7862,WA
5194,WA
