ID,status,event
130,2,3
142,2,3
163,2,3
199,2,3
200,2,3
226,2,3
228,2,3
230,2,3
238,2,3
393,2,3
445,2,3
532,2,3
547,2,3
569,2,3
583,2,3
592,2,3
596,2,3
614,2,3
620,2,3
675,2,3
679,2,3
686,2,3
691,2,3
701,2,3
703,2,3
711,2,3
731,2,3
735,2,3
737,2,3
741,2,3
760,2,3
761,2,3
789,2,3
800,2,3
801,2,3
833,2,3
860,2,3
861,2,3
909,2,3
920,2,3
936,2,3
944,2,3
982,2,3
995,2,3
1010,2,3
1012,2,3
1021,2,3
1027,2,3
1036,2,3
1044,2,3
1054,2,3
1056,2,3
1064,2,3
1080,2,3
1115,2,3
1155,2,3
1200,2,3
55,2,4
83,2,4
121,2,4
142,2,4
158,2,4
176,2,4
181,2,4
193,2,4
199,2,4
230,2,4
238,2,4
320,2,4
333,2,4
424,2,4
445,2,4
454,2,4
455,2,4
532,2,4
543,2,4
547,2,4
565,2,4
568,2,4
569,2,4
583,2,4
592,2,4
620,2,4
624,2,4
659,2,4
666,2,4
675,2,4
677,2,4
691,2,4
701,2,4
713,2,4
725,2,4
727,2,4
731,2,4
760,2,4
765,2,4
779,2,4
782,2,4
789,2,4
817,2,4
821,2,4
823,2,4
833,2,4
838,2,4
860,2,4
884,2,4
905,2,4
910,2,4
920,2,4
944,2,4
954,2,4
982,2,4
995,2,4
997,2,4
998,2,4
1015,2,4
1035,2,4
1044,2,4
1054,2,4
1064,2,4
1067,2,4
1080,2,4
1483,2,4
