Source,ID-co,Company/aa2,Person,Title,address main line,Apt/aa1,City,State,Zip,Zip+4,Note2010,Ret2012,Remailed?,,,,,,,
Steve,1,2nd Avenue Grocery,,,89 2nd Avenue,,New York,NY,10003,,,,,,,,,,,
Steve,2,AAFE,Christopher Qui,Exec. Director,111 Division Street,,New York,NY,10002,,,,,,,,,,,
Steve,4,AE Supply Corp.,,,18 2nd Avenue,,New York,NY,10003,,,,,,,,,,,
Fran,5,AJF Financial Services,Andrew Friedman,,475 Park Avenue South,Suite 700,New York,NY,10016,,,,,,,,,,,
Steve,6,Ali Forney Center,Carl Siciliano,Exec. Director,224 W. 35th St.,15th Floor,New York,NY,10001,,new 2012,,,,,,,,,
Steve,7,All in One Network,Gabriel,,4405 Beach 44th Street,,Brooklyn,NY,11224,,,,,,,,,,,
Steve,8,Allied Builders Hardware,,,59 2nd Avenue,,New York,NY,10003,,,,,,,,,,,
Steve,9,Altman Foundation,Karen Rosa,Vice President,521 5th Ave.,35th Fl.,New York,NY,10175,3599,,,,,,,,,,
Steve,10,Amalgamated Bank,Branch Manager,,10 E. 14th Street,,NY,NY,10003,,,,,,,,,,,
Steve,11,ANHD,Benjamin Dulchin,Exec. Dir.,50 Broad Street,Suite 1125,NY,NY,10004,,,,,,,,,,,
Steve,12,Ballo & Co.,Mr. Ballo,,67 Hudson Street,,New York,NY,10013,,,,,,,,,,,
Steve,13,BFC Partners,Don Capoccia,,325 Gold Street,7th Floor,Brooklyn,NY,11201,,,,,,,,,,,
Steve,14,Block Drugs,Carmine,,101 2nd Avenue,,New York,NY,10003,,,,,,,,,,,
,15,Bona Fides Restaurant,Manager,,60 2nd Avenue,,New York,NY,10003,,Revised from 2010 return,,,,,,,,,
Steve,16,Borah Goldstein,Lester Figeroa,,377 Broadway,,New York,NY,10013,,,,,,,,,,,
Fran,17,Borinquen Exterminator,Pedro Gonzalez,,435 Fort Washington Ave.,Suite 2H,New York,NY,10033,,,,,,,,,,,
Steve,18,"Bowery Hotel, LLC",Richard Born,President,871 7th Avenue,,New York,NY,10019,,,,,,,,,,,
Steve,19,Bowery Residents Committee,Jennifer Og,,131 W 25th St,FL 12,New York,NY,10001,7207,"Moved, revised",,,,,,,,,
Steve,20,"Broad Street Financial Services, Ltd",Frimette Kass-Shreiber,,956 E 12th St,,Brooklyn,NY,11230,,,,,,,,,,,
Steve,21,Build-Ez Inc.  ,,,150 W. 30th St.,Suite 415,NY,NY,10001,,,,,,,,,,,
Steve,22,C/o Nice Guy Eddies,David McWater,,5 Avenue A,,New York,NY,10009,,,,,,,,,,,
Steve,23,Capital One Bank,,,159 2nd Avenue,,New York,NY,10003,,,,,,,,,,,
Steve,24,Catholic Charities,Program Officer,,1011 1st Ave,,New York,NY,10022,,,,,,,,,,,
Steve,25,Chinatown YMCA,David Kaplan,Exec. Director,273 Bowery,,New York,NY,10003,,,,,,,,,,,
Steve,26,Chinese American Planning Council,Janet Li,,165 Eldridge Street ,,New York,NY,10002,,,,,,,,,,,
Steve,29,Clearview Festival Productions,Mike DeBellis,,80 8th Avenue,4th Floor,New York,NY,10011,,,,,,,,,,,
Steve,30,Clifford Chance,Anthony Candido,,31 West 52nd Street,,New York ,NY,10019,6131,,,,,,,,,,
Steve,33,"Collins, Dobkin & Miller",,,277 Broadway,,New York,NY,10007,,,,,,,,,,,
Steve,34,Commerce Bank,Melissa,Comm. Dev. Officer,101 Haddonfield Rd.,2nd Floor,Cherry Hill,NJ,08002,,,,,,,,,,,
Steve,35,Community Access,Maggi Knox,Project Manager,2 Washington St.,9th Floor,New York,NY,10004,,new 2012,,,,,,,,,
Steve,37,Community Preservation Corp.,Brenda Ratliff,Communications VP,28 East 28th Street,9th Floor,New York,NY,10016,,,,,,,,,,,
Steve,38,Con Edison,David Gmach,,4 Irving Place,1650-S,New York,NY,10017,,,,,,,,,,,
Steve,39,Contact Fund,Jennifer Trepinski,,708 3rd Avenue,6th Fl,New York,NY,10017,,new 2012,,,,,,,,,
Steve,40,Cooper Square MHA,Val Orselli,,59-61 E. 4th St.,,New York,NY,10003,,,,,,,,,,,
Steve,41,Creative Time,Anne Pasternack,Exec. Director,59-61 E. 4th St.,,NY,NY,10003,,,,,,,,,,,
Steve,42,Crystal Window & Door Systems ,,,31-10 Whitestone Expressway,,Flushing,NY,11354,,,,,,,,,,,
Steve,43,Cucina Di Pesce,,,87 E. 4th St.,,New York,NY,10003,,,,,,,,,,,
Fran,44,Democracy Now!,Amy Goodman,,207 W. 25th St.,Floor 11,New York,NY,10001,,"ret101510 - Not Deliverable as Addressed, fixed 2012",,,,,,,,,
Steve,46,Dolphin Gym,,,94 E. 4th Street,,New York,NY,10003,,NDA but correct,,,,,,,,,
Steve,47,Downtown Art,Ryan Gilliam,,59-61 E. 4th St.,,NY,NY,10003,,,,,,,,,,,
Steve,48,"Duke Beeson Architects, P.C.",Duke Beeson,,330 W. 38th St.,Suite 1606,New York,NY,10018,,,,,,,,,,,
Steve,49,Duo Theater,Michaelangelo Alasa,,62 E. 4th Street,,New York,NY,10003,,,,,,,,,,,
Steve,50,East Village Community Coalition,Aaron Sosnick,,143 Avenue B,,New York,NY,10009,,,,,,,,,,,
Steve,51,East Village Farm & Grocery,Paul,,69 2nd Avenue,,New York,NY,10003,,,,,,,,,,,
Steve,52,Elite Technology,Sherman Mui,,1001 6th Avenue,,New York,NY,10018,,,,,,,,,,,
Steve,53,Exxon,,,24 2nd Avenue,,New York,NY,10003,,,,,,,,,,,
Steve,54,Fabulous Fanny’s ,,,335 E. 9th St.,,New York,NY,10003,,,,,,,,,,,
Steve,55,"Finder Novick Kerrigan, LLP",,,276 Park Ave S,,New York,NY,10010,,,,,,,,,,,
Steve,56,Fourth Arts Block,Tamara Greenfield,,61 E. 4th St,,New York,NY,10003,,,,,,,,,,,
Steve,57,Fund for the City of NY,Andrew Walrond,,121 Ave. of the Americas,6th Fl.,New York,NY,10013,,,,,,,,,,,
