Event,Civi ID,P-Status,P-Role,P-Notes
13,1,2,5,"Price: Comp, Ppl expected: 1, Payment details: Yes"
14,1,2,5,"Ppl expected: 1, Payment details: "
13,3,2,5,"Price: Comp, Ppl expected: 1, Payment details: Yes"
14,3,2,5,
13,4,2,5,"Price: Comp, Ppl expected: 1, Payment details: Yes"
14,4,2,5,"Ppl expected: 1, Payment details: "
14,34,2,1,"Ppl expected: 0, Payment details: Paid (Donated a massage for auction)"
13,146,2,1,"Price: 40, Ppl expected: 1, Payment details: Yes"
14,167,2,1,"Ppl expected: 1, Payment details: Paid"
14,180,2,1,"Ppl expected: 1, Payment details: MHA's guest"
13,203,2,6,"Price: Comp, Ppl expected: 1, Payment details: Yes"
14,203,2,1,"Ppl expected: 1, Payment details: Fran's guest"
13,221,2,1,"Price: 80, Ppl expected: 2, Payment details: No"
13,230,2,1,"Price: 0, Ppl expected: 1, Payment details: Yes"
14,230,2,1,"Ppl expected: 1, Payment details: 10 Stanton St Owner's guests"
13,232,2,1,"Price: 60, Ppl expected: 1, Payment details: Yes"
14,234,2,1,"Ppl expected: 1, Payment details: Paid"
14,242,3,1,"Ppl expected: 0, Payment details: Did not show"
13,254,2,6,"Price: Comp, Ppl expected: 1, Payment details: Yes"
14,254,2,1,"Ppl expected: 1, Payment details: MHA's guest"
13,302,2,6,"Price: Comp, Ppl expected: 1, Payment details: Yes"
14,302,2,1,"Ppl expected: 1, Payment details: MHA's guest"
13,305,2,2,"Price: Comp, Ppl expected: 1, Payment details: Yes"
13,312,2,6,"Price: Comp, Ppl expected: 1, Payment details: Yes"
13,329,2,1,"Price: 40, Ppl expected: 1, Payment details: Yes"
13,335,2,6,"Price: Comp, Ppl expected: 1, Payment details: Yes"
13,428,2,6,"Price: Comp, Ppl expected: 1, Payment details: Yes"
14,428,3,1,"Ppl expected: 0, Payment details: Did not show"
13,449,2,1,"Price: 25, Ppl expected: 1, Payment details: No"
14,449,2,1,"Ppl expected: 1, Payment details: Paid"
13,454,2,6,"Price: Comp, Ppl expected: 1, Payment details: Yes"
13,536,2,1,"Price: 40, Ppl expected: 1, Payment details: Yes"
14,536,2,1,"Ppl expected: 1, Payment details: MHA's guest"
13,551,2,1,"Price: 40, Ppl expected: 0, Payment details: Yes"
13,563,2,1,"Price: 120, Ppl expected: 2, Payment details: Yes"
13,564,2,6,"Price: Comp, Ppl expected: 1, Payment details: Yes"
13,569,2,1,"Price: 40, Ppl expected: 0, Payment details: Yes"
14,569,14,1,"Ppl expected: 0, Payment details: Donation"
14,572,2,1,"Ppl expected: 2, Payment details: Paid"
13,573,2,1,"Price: 40, Ppl expected: 1, Payment details: No"
14,573,2,1,"Ppl expected: 1, Payment details: Paid"
13,574,2,1,"Price: 40, Ppl expected: 1, Payment details: Yes"
14,574,1,1,"Ppl expected: 1, Payment details:  "
13,578,2,6,"Price: 20, Ppl expected: 1, Payment details: Yes"
13,596,2,1,"Price: 0, Ppl expected: 1, Payment details: Yes"
14,596,2,1,"Ppl expected: 1, Payment details: Fran's guest"
13,619,2,1,"Price: 60, Ppl expected: 1, Payment details: No"
13,622,2,6,"Price: Comp, Ppl expected: 1, Payment details: Yes"
13,625,2,1,"Price: 40, Ppl expected: 1, Payment details: Yes"
14,625,2,1,"Ppl expected: 1, Payment details:  "
14,632,2,1,"Ppl expected: 1, Payment details: Paid"
13,650,2,1,"Price: 60, Ppl expected: 1, Payment details: Yes"
14,650,2,1,"Ppl expected: 1, Payment details: Paid"
13,652,2,6,"Price: 40, Ppl expected: 1, Payment details: Yes"
14,652,2,6,"Ppl expected: 1, Payment details: Paid"
13,654,2,1,"Price: 40, Ppl expected: 1, Payment details: Yes"
13,663,2,1,"Price: 40, Ppl expected: 1, Payment details: No"
13,664,2,1,"Price: 40, Ppl expected: 1, Payment details: Yes"
13,680,2,6,"Price: Comp, Ppl expected: 1, Payment details: Yes"
14,680,2,1,"Ppl expected: 0, Payment details: Paid"
14,682,2,1,"Ppl expected: 0, Payment details: Paid"
13,696,2,6,"Price: 60, Ppl expected: 1, Payment details: Yes"
14,696,2,1,"Ppl expected: 1, Payment details: Paid"
13,707,2,6,"Price: 390, Ppl expected: 1, Payment details: Yes"
14,707,2,1,"Ppl expected: 1, Payment details: Paid"
13,709,2,1,"Price: 20, Ppl expected: 1, Payment details: Yes"
14,709,3,1,"Ppl expected: 0, Payment details: Did not show"
13,727,2,1,"Price: 20, Ppl expected: 1, Payment details: Yes"
13,730,2,6,"Price: Comp, Ppl expected: 1, Payment details: Yes"
14,730,3,1,"Ppl expected: 0, Payment details: Did not show"
13,733,2,1,"Price: 25, Ppl expected: 0, Payment details: Yes"
13,737,2,1,"Price: 75, Ppl expected: 1, Payment details: Yes"
14,737,1,1,"Ppl expected: 1, Payment details:  "
13,766,2,1,"Price: 40, Ppl expected: 1, Payment details: Yes"
14,766,2,1,"Ppl expected: 1, Payment details: Paid"
13,767,2,1,"Price: 40, Ppl expected: 1, Payment details: Yes"
14,767,2,1,"Ppl expected: 1, Payment details: Fran's guest"
13,768,2,1,"Price: 60, Ppl expected: 1, Payment details: Yes"
13,772,2,1,"Price: 60, Ppl expected: 1, Payment details: Yes"
14,772,2,1,"Ppl expected: 1, Payment details: Paid"
13,786,2,1,"Price: 60, Ppl expected: 1, Payment details: Yes"
13,796,2,1,"Price: 40, Ppl expected: 1, Payment details: No"
14,796,2,1,"Ppl expected: 1, Payment details: Paid"
13,797,2,1,"Price: 20, Ppl expected: 1, Payment details: Yes"
14,798,2,1,
13,807,2,1,"Price: Comp, Ppl expected: 1, Payment details: Yes"
14,807,2,1,"Ppl expected: 1, Payment details: Comp"
13,808,2,1,"Price: 60, Ppl expected: 1, Payment details: No"
13,830,2,1,"Price: 40, Ppl expected: 1, Payment details: No"
14,830,2,1,"Ppl expected: 1, Payment details: Fran's guest"
14,843,2,1,"Ppl expected: 1, Payment details: MHA's guest"
13,881,2,1,"Price: 60, Ppl expected: 1, Payment details: Yes"
13,890,2,6,"Price: 60, Ppl expected: 1, Payment details: Yes"
14,890,2,1,"Ppl expected: 1, Payment details: Paid"
13,893,2,1,"Price: 40, Ppl expected: 1, Payment details: No"
13,914,2,1,"Price: 40, Ppl expected: 1, Payment details: No"
13,918,2,1,"Price: 60, Ppl expected: 1, Payment details: Yes"
14,918,2,1,"Ppl expected: 0, Payment details: Paid"
13,919,2,1,"Price: 60, Ppl expected: 1, Payment details: Yes"
14,919,2,1,"Ppl expected: 1, Payment details: Paid"
13,929,2,1,"Price: 40, Ppl expected: 1, Payment details: Yes"
14,929,2,1,"Ppl expected: 1, Payment details: Paid"
13,956,2,1,"Price: 75, Ppl expected: 1, Payment details: Yes"
14,956,2,1,"Ppl expected: 1, Payment details: Paid"
14,975,2,1,"Ppl expected: 0, Payment details: Wants to come but can't afford $40"
14,986,2,1,"Ppl expected: 1, Payment details: Paid"
13,990,2,1,"Price: 40, Ppl expected: 1, Payment details: No"
14,990,2,1,"Ppl expected: 1, Payment details: Paid (Donated a belt for auction)"
13,991,2,1,"Price: 40, Ppl expected: 1, Payment details: No"
14,991,1,1,"Ppl expected: 1, Payment details:  "
13,1006,2,6,"Price: Comp, Ppl expected: 1, Payment details: Yes"
14,1006,2,1,"Ppl expected: 0, Payment details: MHA's guest"
14,1023,2,1,"Ppl expected: 2, Payment details: Paid"
13,1030,2,1,"Price: 40, Ppl expected: 1, Payment details: No"
14,1033,14,1,"Ppl expected: 0, Payment details: Paid"
14,1033,14,1,"Ppl expected: 0, Payment details: Paid"
13,1040,2,6,"Price: Comp, Ppl expected: 1, Payment details: Yes"
14,1040,2,1,"Ppl expected: 1, Payment details: Fran's guest"
13,1043,2,1,"Price: 120, Ppl expected: 3, Payment details: Yes"
13,1044,2,6,"Price: 120, Ppl expected: 1, Payment details: Yes"
14,1044,2,1,"Ppl expected: 1, Payment details: Paid"
13,1052,2,5,"Price: Comp, Ppl expected: 1, Payment details: Yes"
14,1052,2,5,"Ppl expected: 1, Payment details: "
14,1058,2,1,
14,1062,2,1,"Ppl expected: 1, Payment details: Paid"
14,1072,2,1,"Ppl expected: 1, Payment details: Paid"
13,1075,2,1,"Price: 60, Ppl expected: 1, Payment details: Yes"
14,1075,2,1,"Ppl expected: 1, Payment details: Paid"
13,1076,2,6,"Price: 20, Ppl expected: 1, Payment details: Yes"
14,1076,2,1,"Ppl expected: 1, Payment details: MHA's guest"
14,1089,2,1,"Ppl expected: 1, Payment details: Paid"
13,1123,2,1,"Price: 45, Ppl expected: 1, Payment details: Yes"
13,1161,2,1,"Price: 40, Ppl expected: 1, Payment details: Yes"
14,1347,2,1,"Ppl expected: 0, Payment details: Comp"
14,1349,2,1,"Ppl expected: 1, Payment details: Will pay on Nov. 1st"
13,1351,2,2,"Price: Comp, Ppl expected: 1, Payment details: Yes"
13,1366,2,2,"Price: Comp, Ppl expected: 1, Payment details: Yes"
14,1429,2,1,"Ppl expected: 1, Payment details: Paid"
13,1439,2,1,"Price: 40, Ppl expected: 1, Payment details: No"
14,1439,2,1,"Ppl expected: 1, Payment details: Paid"
13,1484,2,1,"Price: 75, Ppl expected: 1, Payment details: Yes"
13,1635,2,5,"Price: Comp, Ppl expected: 1, Payment details: Yes"
14,1635,2,5,"Ppl expected: 1, Payment details: "
14,1743,2,1,"Ppl expected: 1, Payment details: Paid"
13,1817,2,1,"Price: 100, Ppl expected: 1, Payment details: Yes"
14,1817,2,1,"Ppl expected: 2, Payment details: Paid"
14,1832,2,1,"Ppl expected: 1, Payment details: Paid"
13,1834,2,1,"Price: 100, Ppl expected: 1, Payment details: Yes"
14,1841,2,1,"Ppl expected: 1, Payment details: Paid"
13,1844,2,1,"Price: 60, Ppl expected: 1, Payment details: No"
14,1844,2,1,"Ppl expected: 1, Payment details: Paid"
13,1848,2,1,"Price: 250, Ppl expected: 1, Payment details: Yes"
14,1848,2,1,"Ppl expected: 1, Payment details: Paid"
13,1851,2,1,"Price: 100, Ppl expected: 1, Payment details: Yes"
13,1852,2,1,"Price: 40, Ppl expected: 1, Payment details: Yes"
14,1852,2,1,"Ppl expected: 1, Payment details: Paid"
14,1854,1,1,"Ppl expected: 1, Payment details:  "
13,1856,2,1,"Price: 100, Ppl expected: 1, Payment details: Yes"
13,1866,2,1,"Price: 100, Ppl expected: 1, Payment details: Yes"
13,1882,2,1,"Price: 40, Ppl expected: 2, Payment details: No"
14,1882,2,1,"Ppl expected: 1, Payment details: Paid"
13,1897,2,1,"Price: 80, Ppl expected: 2, Payment details: No"
13,1898,2,1,"Price: 120, Ppl expected: 2, Payment details: No"
14,1898,2,1,"Ppl expected: 1, Payment details: Paid"
13,1905,2,1,"Price: 150, Ppl expected: 2, Payment details: Yes"
14,1916,2,1,"Ppl expected: 1, Payment details: Paid"
13,1919,2,1,"Price: 83.34, Ppl expected: 1, Payment details: Yes"
13,1920,2,1,"Price: 60, Ppl expected: 1, Payment details: Yes"
14,1920,2,1,"Ppl expected: 1, Payment details: Paid"
14,1923,2,1,"Ppl expected: 1, Payment details: Paid"
14,1925,2,1,"Ppl expected: 1, Payment details: Paid"
13,1928,2,1,"Price: 150, Ppl expected: 2, Payment details: Yes"
14,1949,14,1,"Ppl expected: 0, Payment details: Donation"
14,1969,2,1,
14,1978,2,1,"Ppl expected: 1, Payment details: Paid"
14,1978,2,1,"Ppl expected: 1, Payment details: Paid"
13,1981,2,1,"Price: 75, Ppl expected: 1, Payment details: No"
14,1982,2,1,"Ppl expected: 1, Payment details: Paid"
14,1983,1,1,"Ppl expected: 1, Payment details:  "
14,2044,2,1,"Ppl expected: 1, Payment details: Paid"
13,2072,2,1,"Price: 60, Ppl expected: 1, Payment details: Yes"
14,2072,2,6,"Ppl expected: 1, Payment details: Honoree"
13,2101,2,1,"Price: 150, Ppl expected: 3, Payment details: No"
13,2102,2,6,"Price: Comp, Ppl expected: 1, Payment details: Yes"
14,2102,2,1,"Ppl expected: 0, Payment details: Fran's guest"
13,2113,2,1,"Price: 83.33, Ppl expected: 1, Payment details: Yes"
14,2114,2,1,"Ppl expected: 1, Payment details: Paid"
13,2115,2,1,"Price: 40, Ppl expected: 1, Payment details: No"
14,2115,2,2,"Ppl expected: 1, Payment details: Volunteer"
13,2116,2,1,"Price: 60, Ppl expected: 1, Payment details: Yes"
14,2117,2,1,
14,2118,2,1,"Ppl expected: 0, Payment details: Paid"
13,2119,2,1,"Price: 60, Ppl expected: 1, Payment details: No"
14,2120,2,1,"Ppl expected: 1, Payment details: Paid"
14,2121,1,1,"Ppl expected: 1, Payment details:  "
14,2122,2,1,"Ppl expected: 1, Payment details: MHA's guest"
13,2123,2,1,"Price: 60, Ppl expected: 1, Payment details: Yes"
14,2124,2,1,"Ppl expected: 1, Payment details: Paid"
14,2125,2,1,
14,2126,2,1,"Ppl expected: 1, Payment details: Paid"
13,2127,2,1,"Price: Comp, Ppl expected: 1, Payment details: Yes"
14,2127,2,1,"Ppl expected: 1, Payment details: Paid"
14,2128,2,1,"Ppl expected: 1, Payment details: Paid"
14,2129,1,1,"Ppl expected: 1, Payment details:  "
14,2130,2,1,"Ppl expected: 1, Payment details: Paid"
14,2131,2,1,"Ppl expected: 1, Payment details: Fran's guest"
14,2132,2,1,"Ppl expected: 1, Payment details: Paid"
14,2133,2,1,"Ppl expected: 1, Payment details: Paid"
14,2134,2,1,"Ppl expected: 1, Payment details: Paid"
13,2135,2,1,"Price: 40, Ppl expected: 1, Payment details: No"
14,2136,2,1,"Ppl expected: 1, Payment details: Paid"
14,2137,2,1,"Ppl expected: 1, Payment details: Paid"
14,2138,2,1,"Ppl expected: 1, Payment details: MHA's guest"
14,2139,2,1,
13,2140,2,1,"Price: 40, Ppl expected: 1, Payment details: No"
14,2141,3,1,"Ppl expected: 0, Payment details: Did not show"
13,2142,2,1,"Price: 40, Ppl expected: 1, Payment details: Yes"
14,2142,2,1,"Ppl expected: 1, Payment details: Paid"
14,2143,2,1,"Ppl expected: 1, Payment details: Paid"
14,2144,2,1,"Ppl expected: 1, Payment details: Paid"
14,2145,2,1,"Ppl expected: 1, Payment details: MHA's guest"
14,2146,2,1,"Ppl expected: 2, Payment details: Fran's guest"
14,2147,2,2,"Ppl expected: 1, Payment details: Volunteer"
13,2148,2,1,"Price: 40, Ppl expected: 1, Payment details: No"
14,2149,2,1,"Ppl expected: 1, Payment details: Paid"
14,2150,2,1,"Ppl expected: 1, Payment details: Paid"
13,2151,2,1,"Price: 60, Ppl expected: 1, Payment details: Yes"
