Source,ID-co,Company/aa2,Person,Title,address main line,Apt/aa1,City,State,Zip,Zip+4,Note2010,Ret2012,Remailed?,Phone(w),Ext,Phone cell,email
Steve,org01,2nd Avenue Grocery,,,89 2nd Avenue,,New York,NY,10003,,,,,,,,
Steve,org02,AAFE,Christopher Qui,Exec. Director,111 Division Street,,New York,NY,10002,,,,,,,,
Steve,org02,AAFE,Maria Bottino,,111 Division Street,,New York,NY,10002,,,,,,,,
Steve,org04,AE Supply Corp.,,,18 2nd Avenue,,New York,NY,10003,,,,,,,,
Fran,org05,AJF Financial Services,Andrew Friedman,,475 Park Avenue South,Suite 700,New York,NY,10016,,,,,,,,
Steve,org06,Ali Forney Center,Carl Siciliano,Exec. Director,224 W. 35th St.,15th Floor,New York,NY,10001,,new 2012,,,,,,
Steve,org07,All in One Network,Gabriel,,4405 Beach 44th Street,,Brooklyn,NY,11224,,,,,,,,
Steve,org08,Allied Builders Hardware,,,59 2nd Avenue,,New York,NY,10003,,,,,,,,
Steve,org09,Altman Foundation,Karen Rosa,Vice President,521 5th Ave.,35th Fl.,New York,NY,10175,3599,,,,,,,
Steve,org10,Amalgamated Bank,Branch Manager,,10 E. 14th Street,,NY,NY,10003,,,,,,,,
Steve,org100,"Monadnock Construction, Inc.",Nick Lombo,,155 3rd Street,,Brooklyn,NY,11231,,,,,,,,
Steve,org101,Myrtle Avenue Brooklyn Partnership,Executive Director,,472 Myrtle Avenue,2nd Fl,Brooklyn,NY,11205,,,,,,,,
Steve,org102,N. Manhattan Improvement Corp. ,Dan Rieber,Weatherization Program,76 Wadsworth Avenue,,New York,NY,10033,,,,,,,,
Steve,org103,National Equity Fund,Tony Thesing,,501 Seventh Avenue,7th Floor,New York,NY,10018,,,,,,,,
Steve,org104,Neighborhood Preservation Center,Felicia Mayro,Director,232 E. 11th Street,,New York,NY,10003,,,,,,,,
Steve,org105,NeighborWorks Training Institute,,,1325 G Street NW,Suite 800,Washington,DC,20005,,,,,,,,
,org106,New York Foundation ,Program Officer,,10 East 34th Street,10th Fl.,New York,NY,10116,2996,Revised from 2010 return,,,,,,
Steve,org107,New York Theater Workshop,Larry Henry,,79 E. 4th St.,,New York,NY,10003,,,,,,,,
Steve,org107,New York Theater Workshop,William Russo,,79 E. 4th St.,,New York,NY,10003,,,,,,,,
Steve,org107,New York Theatre Workshop,Mr. Nicola,,79 E. 4th Street,,New York,NY,10003,,,,,,,,
Steve,org11,ANHD,Benjamin Dulchin,Exec. Dir.,50 Broad Street,Suite 1125,NY,NY,10004,,,,,,,,
Steve,org110,Noyes Foundation ,Edna Iriarte,Program Officer,6 E. 39th St.,,New York,NY,10016,,,,,,,,
,org111,NY Community Trust,Pat Swann,,909 Third Avenue,22nd Floor,New York,NY,10022,,Revised from 2010 return,,,877-550-2333,42137,,gguerra@paychex.com
