Contact ID,Contact Note: shirt details,Albany Participant status ID,Albany Participant Role ID,Event ID,Albany Participation note,DNI
2715,Picked up red Save LES T-shirt 6/8/15: M,2,1,25,,PARTICIPANT IMPORT
112,Picked up red Save LES T-shirt 6/8/15: 2X,2,1,25,,PARTICIPANT IMPORT
2496,Picked up red Save LES T-shirt 6/8/15: L,2,1,25,,PARTICIPANT IMPORT
2715,Picked up red Save LES T-shirt 6/8/15: M,2,1,25,,PARTICIPANT IMPORT
2778,Picked up red Save LES T-shirt 6/8/15: XL,2,1,25,,PARTICIPANT IMPORT
278,,4,1,25,,PARTICIPANT IMPORT
3117,,4,1,25,,PARTICIPANT IMPORT
3018,Picked up red Save LES T-shirt 6/8/15: M,2,1,25,,PARTICIPANT IMPORT
2894,Picked up red Save LES T-shirt 6/8/15: 2X,2,1,25,,PARTICIPANT IMPORT
1390,Picked up red Save LES T-shirt 6/8/15: L,2,1,25,,PARTICIPANT IMPORT
603,Picked up red Save LES T-shirt 6/8/15: L,2,1,25,,PARTICIPANT IMPORT
807,Picked up red Save LES T-shirt 6/8/15: L,2,1,25,,PARTICIPANT IMPORT
2744,Picked up red Save LES T-shirt 6/8/15: L,2,1,25,,PARTICIPANT IMPORT
3160,Picked up red Save LES T-shirt 6/8/15: L,2,1,25,,PARTICIPANT IMPORT
1844,Given red Save LES T-shirt 6/9/15: L,2,1,25,went but not on bus,PARTICIPANT IMPORT
3154,Picked up red Save LES T-shirt 6/8/15: M,2,1,25,,PARTICIPANT IMPORT
33,Given red Save LES T-shirt 6/9/15: M,2,1,25,,PARTICIPANT IMPORT
3032,Given red Save LES T-shirt 6/9/15: S,2,1,25,,PARTICIPANT IMPORT
1441,Picked up red Save LES T-shirt 6/8/15: L,2,1,25,,PARTICIPANT IMPORT
3156,Picked up red Save LES T-shirt 6/8/15: L,2,1,25,,PARTICIPANT IMPORT
800,Picked up red Save LES T-shirt 6/8/15: M,2,1,25,,PARTICIPANT IMPORT
3018,Picked up red Save LES T-shirt 6/8/15: M,2,1,25,,PARTICIPANT IMPORT
3158,Picked up red Save LES T-shirt,2,1,25,,PARTICIPANT IMPORT
686,Picked up red Save LES T-shirt 6/8/15: XL,2,1,25,,PARTICIPANT IMPORT
2206,Picked up red Save LES T-shirt 6/8/15: XL,2,1,25,,PARTICIPANT IMPORT
3157,,3,1,25,,PARTICIPANT IMPORT
3139,,4,1,25,,PARTICIPANT IMPORT
3138,,4,1,25,,PARTICIPANT IMPORT
3155,,4,1,25,,PARTICIPANT IMPORT
3133,Picked up red Save LES T-shirt 6/8/15: L,4,1,25,,PARTICIPANT IMPORT
3,,2,5,25,,
4,,2,5,25,,
1052,,2,5,25,,
1635,,2,5,25,,
2067,,2,5,25,,
