external ID,value der,value avg
96,0.00,10.00
574,0.00,10.00
138,0.00,10.00
137,0.00,10.00
615,0.00,10.00
234,0.00,9.00
85,0.06,9.00
55,0.01,8.50
191,-2.00,8.00
192,0.00,8.00
353,0.00,8.00
134,0.00,8.00
280,0.00,7.00
194,0.00,7.00
250,0.00,7.00
202,0.00,7.00
148,0.00,6.00
178,0.00,6.00
99,0.00,6.00
540,0.00,6.00
158,0.00,6.00
650,0.12,6.00
91,0.38,6.00
503,-0.05,5.50
493,0.00,5.00
270,0.00,5.00
94,0.00,5.00
2389,0.00,5.00
573,0.00,5.00
157,0.00,5.00
358,0.00,5.00
983,0.00,5.00
543,0.00,5.00
323,0.00,5.00
916,-0.03,4.00
144,0.00,4.00
551,0.00,4.00
143,0.00,4.00
572,0.00,4.00
1042,0.00,4.00
507,0.00,4.00
151,0.00,4.00
155,0.00,4.00
184,0.00,4.00
591,0.00,4.00
114,0.16,3.33
44,-0.02,3.29
200,-0.43,3.00
364,0.00,3.00
227,0.00,3.00
570,0.00,3.00
154,0.00,3.00
175,0.00,3.00
586,0.00,3.00
92,0.00,3.00
339,0.00,3.00
1035,0.00,3.00
163,0.00,3.00
220,-0.06,2.67
147,-0.03,2.60
156,-0.33,2.50
342,0.00,2.00
206,0.00,2.00
286,0.00,2.00
189,0.00,2.00
166,0.00,2.00
179,0.00,2.00
1075,0.00,2.00
152,0.00,2.00
237,0.00,2.00
444,0.00,2.00
588,0.00,2.00
613,0.00,2.00
405,0.00,2.00
373,0.00,2.00
407,0.00,2.00
460,0.00,2.00
333,0.00,2.00
465,0.00,2.00
230,0.00,2.00
408,0.00,2.00
122,0.00,2.00
489,0.00,2.00
225,0.00,2.00
412,0.00,2.00
355,0.50,1.50
149,0.00,1.00
291,0.00,1.00
288,0.00,1.00
366,0.00,1.00
273,0.00,1.00
289,0.00,1.00
145,0.00,1.00
268,0.00,1.00
210,0.00,1.00
180,0.00,1.00
310,0.00,1.00
302,0.00,1.00
311,0.00,1.00
197,0.00,1.00
176,0.00,1.00
140,0.00,1.00
160,0.00,1.00
927,-0.02,0.50
88,0.00,0.00
269,0.00,0.00
30,0.00,0.00
290,0.00,0.00
