indiv access id,Company,Employment,Volunteer
1046,Alpha Omega Dance Co.,,
982,Barbara Shaum Leather,,
1327,Bowery Mission,,
1174,c/o Ike (?),,
1009,c/o NYU Philosophy PhD Program,,
690,Church of the Nativity,,
721,Ciao For Now,,
683,Community Board 3,,
881,Cooper Square Mutual Housing Association,,
1510,Dixon Place,,
1153,Downtown Art,,
997,E 4th St Block Association,,
713,Fourth Arts Block,,
1138,JASA,,
670,LaSalle Academy,,
814,LaSalle Academy,,
1431,Manhattan Mini Storage,Manhattan Mini Storage,
1001,Mary House - Catholic Worker,,Yes
333,MHA,,
577,MHA,,
664,MHA,,
556,Nativity Church,,
1166,New York Theater Workshop,,
1168,New York Theater Workshop,,
957,"New York Theater Workshop, Managing Director",,
1000,Pageant Print Shop,,
1436,Sassi Karate Center,,
685,Shalom Tenants Alliance,,
1084,TATV,,
879,Teatro Circulo,,
1035,Underwater Piano Shop,,
655,WOW Café,,
779,,Castle/Bones Actor,
1413,,displaced OWS librarian,
1193,,FAB flyerer,
426,,Interfaith Coalition,
1429,,RENA,
808,,Repairman/mover,
744,,small LL,
953,,small LL,
1544,,VA Hosp,
145,,,in TA there
996,,,in TA there
711,,,"Interested, roommate or him could do website"
993,,,Maybe?
1020,,,No
1180,,,No
1270,,,Wants to be on a committee
120,,,Yes
507,,,Yes
825,,,yes
828,,,Yes
850,,,Yes
852,,,Yes
855,,,Yes
857,,,Yes
933,,,Yes
948,,,Yes
961,,,Yes
1005,,,Yes
1236,,,Yes
1237,,,Yes
1262,,,Yes
1300,,,Yes
1242,,,Yes - mailing
1034,,,#NAME?
